"max(X)","min(X)"
0.6307,0.35981
0.63072,0.35977
0.63069,0.35978
0.63093,0.35958
0.6307,0.35959
0.63107,0.3593
0.63068,0.3595
0.63065,0.35965
0.63046,0.35992
0.6312,0.35928
0.63076,0.35972
0.63039,0.36022
0.63035,0.36047
0.63007,0.36085
0.63083,0.36039
0.63054,0.36031
0.63036,0.36046
0.63039,0.36047
0.63012,0.36063
0.6302,0.36057
0.62994,0.36071
0.62974,0.36097
0.62987,0.361
0.62954,0.36129
0.63013,0.36093
0.62953,0.36122
0.62955,0.36129
0.62918,0.36165
0.62929,0.3617
0.62892,0.362
0.62887,0.36212
0.62879,0.36215
0.62878,0.36227
0.62841,0.3627
0.62828,0.36293
0.62845,0.36283
0.62806,0.36298
0.62808,0.36291
0.62764,0.36324
0.62756,0.36338
0.62723,0.36361
0.62721,0.36364
0.62683,0.36391
0.62659,0.36417
0.62633,0.3643
0.62603,0.36455
0.62578,0.36481
0.62569,0.36487
0.62528,0.36521
0.62505,0.36545
0.62478,0.3656
0.62446,0.3658
0.62404,0.36618
0.62372,0.36647
0.62351,0.36668
0.62332,0.36689
0.62299,0.3672
0.6227,0.36748
0.6224,0.36775
0.62246,0.36762
0.62181,0.36813
0.62143,0.36849
0.62112,0.36875
0.62072,0.36907
0.62036,0.3694
0.62,0.36974
0.61962,0.37009
0.61924,0.37043
0.61887,0.37071
0.61854,0.37117
0.61814,0.37147
0.61776,0.37174
0.61739,0.37207
0.61738,0.37209
0.61681,0.3724
0.61712,0.37214
0.6164,0.37246
0.61545,0.37363
0.61485,0.37454
0.61462,0.37494
0.61421,0.37515
0.61416,0.3753
0.61373,0.3758
0.61346,0.37594
0.61341,0.37613
0.61298,0.3763
0.61271,0.37649
0.61244,0.37676
0.61208,0.37725
0.61181,0.37755
0.61157,0.37781
0.61135,0.37798
0.61113,0.37811
0.61102,0.37805
0.61091,0.37793
0.61045,0.37865
0.61032,0.37891
0.61036,0.37862
0.61,0.37916
0.60991,0.37927
0.60975,0.37928
0.60965,0.37938
0.60954,0.37953
0.60946,0.37956
0.60932,0.37972
0.60927,0.37982
0.60918,0.37989
0.60915,0.38
0.60906,0.3801
0.60916,0.38
0.60928,0.37953
0.60888,0.38049
0.60899,0.3802
0.60882,0.38056
0.60894,0.38032
0.60874,0.38039
0.60872,0.38043
0.60878,0.38029
0.60873,0.38043
0.60871,0.38048
0.60869,0.38058
0.60916,0.3798
0.60866,0.38066
0.6089,0.38014
0.60857,0.38056
0.60847,0.38066
0.60859,0.38028
0.60885,0.37956
0.60837,0.38072
0.60874,0.38036
0.60842,0.38099
0.60878,0.38033
0.60842,0.38084
0.60865,0.38092
0.60838,0.38083
0.60831,0.38063
0.60818,0.3806
0.60859,0.37996
0.6081,0.38016
0.60904,0.37894
0.60808,0.38036
0.60764,0.38076
0.60732,0.38159
0.60768,0.38112
0.60732,0.38119
0.60772,0.38205
0.60754,0.38208
0.6074,0.38188
0.60755,0.38102
0.60732,0.3812
