index,eigenvalue,residual
355,1.927007342294e+07,3.783457305813e-06
356,1.951534433068e+07,4.894459647539e-06
357,1.955805327404e+07,5.272102388118e-06
358,1.960079092804e+07,5.122594679455e-06
359,1.965887875010e+07,3.921301214220e-06
360,1.969665199302e+07,7.324300646160e-06
361,1.974698321569e+07,8.759811520123e-06
362,1.993434905029e+07,5.702472710152e-06
363,2.004403484345e+07,4.531436611385e-06
364,2.011511270596e+07,6.870740581165e-06
365,2.012876097788e+07,5.668012642993e-06
366,2.016778230337e+07,8.199295582751e-06
367,2.024818060696e+07,6.079289345845e-06
368,2.041056095600e+07,4.983104348562e-06
369,2.044566396991e+07,5.468336844555e-06
370,2.049688558870e+07,4.142894292322e-06
371,2.049976847441e+07,5.641964687003e-06
372,2.053653120538e+07,1.006490854734e-05
373,2.068862468837e+07,7.337676695288e-06
374,2.073095392784e+07,7.644603607881e-06
375,2.073400567261e+07,7.811118655218e-06
376,2.101684219385e+07,1.970732854150e-05
377,2.116550570945e+07,9.056448815381e-06
378,2.130006734680e+07,1.704601120556e-05
379,2.135870527629e+07,8.681267302980e-06
380,2.137289941146e+07,2.062079180672e-05
381,2.151987736461e+07,7.080695893014e-06
382,2.154378280539e+07,1.220485776666e-05
383,2.161868382025e+07,9.596200158613e-06
384,2.163141523805e+07,5.877175355622e-06
385,2.166508512302e+07,4.749395385128e-06
386,2.175059961166e+07,1.230675247998e-05
387,2.176593749840e+07,7.048175657710e-06
388,2.181507579035e+07,2.893149508423e-06
389,2.194159673809e+07,1.550043488789e-05
390,2.200129531490e+07,1.049969057201e-05
391,2.204929336639e+07,4.323730624748e-06
392,2.219111963341e+07,9.164414255112e-06
393,2.230323710956e+07,6.699829201251e-06
394,2.233182617459e+07,6.194787713645e-06
395,2.243698049804e+07,1.693136040922e-05
396,2.244977371698e+07,9.866287066092e-06
397,2.249796782568e+07,1.109422760549e-05
398,2.257519171370e+07,8.652953929748e-06
399,2.259428419506e+07,9.184370252736e-06
400,2.260793297300e+07,1.413038966024e-05
401,2.273955894664e+07,7.772524185291e-06
402,2.284330733796e+07,1.112780384652e-05
403,2.289556639951e+07,7.074966875574e-06
404,2.297562742171e+07,6.715826058154e-06
